country,model,mae,mse,rmse,r2,mape
Mexico,svm,0.011251665565398116,0.00013983505069062,0.01182518713131509,0.8100067246051362,0.3132739355389816
Morocco,tree,0.12400000000000007,0.019040000000000022,0.1379855064852828,-4.196506550218334,5.95468115678282
Morocco,svm,0.006189708672885619,6.792816137230078e-05,0.00824185424357291,0.9814606546472979,0.29964707042913824
Kuwait,tree,0.5573333333333323,0.5403955555555543,0.7351160150313379,-1.0693393512987295,2.4534643840571624
Kuwait,svm,0.0930518040838649,0.009457763620355768,0.09725103403232156,0.9637833393822727,0.4142450435641097
Malaysia,tree,0.3440000000000003,0.13508000000000023,0.3675323115047169,-7.067367415193509,4.154068866115951
Malaysia,svm,0.021250895560956808,0.0007086999612137648,0.02662141921862478,0.9576743931429906,0.2582495869737495
Nigeria,tree,0.04400000000000004,0.002280000000000004,0.04774934554525333,-5.627906976744185,6.8579822954823015
Nigeria,svm,0.009076292655082207,0.00010230744996896311,0.010114714527309365,0.7025946221832473,1.4311857817359375
Norway,tree,0.3319999999999997,0.17103999999999978,0.41356982481801036,-1.8124177847934728,4.334787368628502
Norway,svm,0.010059739160517722,0.0001631857439114101,0.012774417556640699,0.9973167300724907,0.12765063670004975
Netherlands,tree,0.840000000000001,0.7466800000000016,0.8641064749207713,-17.17624148003895,11.608910781362011
Netherlands,svm,0.018896484100936205,0.0005033936626767293,0.022436436051136315,0.9877460160010534,0.2574361962979577
Pakistan,tree,0.07399999999999993,0.007579999999999984,0.08706319543871557,-2.6026615969581752,6.2639235877441575
Pakistan,svm,0.011227840704381365,0.0001572368980396224,0.012539413783730977,0.9252676340115862,0.9697834699338773
Russia,tree,0.47799999999999976,0.27041999999999966,0.5200192304136451,-1.172117979694125,3.821242323173678
Russia,svm,0.05302607409778091,0.003785943339097435,0.06153001982038877,0.9695898395201659,0.4223986483954648
Poland,tree,0.20800000000000035,0.06620000000000026,0.25729360660537265,-0.14659830954690523,2.5704312708126937
Poland,svm,0.009448501804013886,0.000167068198356081,0.01292548638760186,0.9971063426916295,0.11975520225753918
Qatar,tree,0.7460000000000008,1.3069800000000005,1.1432322598667344,0.007650396034792339,1.9055529876289394
Qatar,svm,0.25821008112614974,0.08191992728623569,0.28621657409422624,0.9378007257958388,0.6791488306746781
Philippines,tree,0.15799999999999997,0.029459999999999986,0.17163915637173233,-5.552491103202848,10.569841984783265
Philippines,svm,0.011689924758540781,0.00015669274080997993,0.012517697104898326,0.9651484117415525,0.7860506446376264
Saudi Arabia,tree,0.4259999999999998,0.20317999999999986,0.4507549223247594,-0.9908677588774797,2.4282074629886763
Saudi Arabia,svm,0.028032683386542346,0.0013035150458352981,0.036104224764358234,0.987227453105792,0.15890538417128036
South Africa,tree,0.44399999999999995,0.2519199999999999,0.5019163276881914,-2.858123009066401,6.861772121011303
South Africa,svm,0.05288521203358805,0.0031907590963916174,0.05648680462189039,0.9511339270952032,0.8091159168563508
South Korea,tree,0.3979999999999997,0.17065999999999976,0.4131101548013553,-2.797845825173569,3.516244929353495
South Korea,svm,0.02000987947186985,0.0004392484901971271,0.02095825589587853,0.9902250202466368,0.17647278292313204
Spain,tree,0.13300000000000017,0.022215000000000047,0.1490469724617043,-0.732298814722403,2.8502756971269005
Spain,svm,0.04537640148031112,0.002517157493137026,0.05017128155765035,0.8037151050267443,0.9758820899495414
Sweden,tree,0.45799999999999974,0.24849999999999978,0.49849774322458046,-5.415220983064842,16.66259089496714
Sweden,svm,0.014663666182475143,0.00039074487436424783,0.0197672677516203,0.9899126168328106,0.5235690957237741
Thailand,tree,0.08999999999999986,0.010019999999999987,0.10009995004993752,-0.21366279069767224,2.022377291062895
Thailand,svm,0.01934091660734527,0.00047410668229552684,0.021773990959296524,0.9425742875126543,0.437584062413683
Turkey,tree,0.31599999999999984,0.1177199999999998,0.34310348293189885,-2.627064333251162,5.687255197120349
Turkey,svm,0.02048488441934886,0.0005289507243558514,0.022998928765397997,0.9837025288280795,0.37331669654144295
Ukraine,tree,0.7840000000000003,0.7195600000000004,0.8482688253142399,-5.8592236711660135,19.38752474061921
Ukraine,svm,0.03904110629106006,0.0016336160635894614,0.04041801657169067,0.9844275140739204,0.9505359785849141
UAE,tree,0.5420000000000009,0.42442000000000074,0.651475248954249,-0.5075159127074353,2.1580837874080405
UAE,svm,0.07908405622968928,0.00689961314980245,0.08306391003198953,0.9754929630675919,0.3178471367106624
United Kingdom,tree,0.5920000000000003,0.4334400000000005,0.6583616027685701,-6.958284371327848,13.97680555154674
United Kingdom,svm,0.017034812276871137,0.0004025733106673213,0.020064229630547027,0.9926084512583115,0.40332496795618816
United States,tree,0.24599999999999939,0.06793999999999974,0.26065302607105817,-0.013424821002385068,1.7201558466521938
United States,svm,0.024074280871982268,0.0012166790620129417,0.03488092690874114,0.9818514459723606,0.170459054023749
Venezuela,tree,0.2619999999999999,0.07093999999999998,0.2663456400994767,-29.897212543553977,5.942769612116751
Venezuela,svm,0.009434009093816975,0.000138748840248393,0.011779169760572814,0.9395693204493062,0.2132629922243628
Vietnam,tree,0.702,0.6020199999999999,0.7758994780253431,-4.512196015235864,16.17998633780347
Vietnam,svm,0.02081141738212864,0.0006651118944544973,0.025789763365616544,0.9939101240252848,0.47559975441233954
