country,tree_r2,tree_mae,tree_rmse,tree_mape,svm_r2,svm_mae,svm_rmse,svm_mape
Netherlands,-17.17624148003895,0.840000000000001,0.8641064749207713,11.608910781362011,0.9877460160010534,0.0188964841009362,0.0224364360511363,0.2574361962979577
Nigeria,-5.627906976744185,0.044,0.0477493455452533,6.8579822954823015,0.7025946221832473,0.0090762926550822,0.0101147145273093,1.4311857817359377
Norway,-1.8124177847934728,0.3319999999999997,0.4135698248180103,4.334787368628502,0.9973167300724908,0.0100597391605177,0.0127744175566406,0.1276506367000497
Pakistan,-2.6026615969581752,0.0739999999999999,0.0870631954387155,6.2639235877441575,0.9252676340115862,0.0112278407043813,0.0125394137837309,0.9697834699338772
Philippines,-5.552491103202848,0.1579999999999999,0.1716391563717323,10.569841984783263,0.9651484117415524,0.0116899247585407,0.0125176971048983,0.7860506446376264
Poland,-0.1465983095469052,0.2080000000000003,0.2572936066053726,2.5704312708126937,0.9971063426916296,0.0094485018040138,0.0129254863876018,0.1197552022575391
Qatar,0.0076503960347923,0.7460000000000008,1.1432322598667344,1.9055529876289397,0.9378007257958388,0.2582100811261497,0.2862165740942262,0.6791488306746781
Russia,-1.172117979694125,0.4779999999999997,0.5200192304136451,3.821242323173678,0.969589839520166,0.0530260740977809,0.0615300198203887,0.4223986483954648
Saudi Arabia,-0.9908677588774796,0.4259999999999998,0.4507549223247594,2.4282074629886763,0.987227453105792,0.0280326833865423,0.0361042247643582,0.1589053841712803
South Africa,-2.858123009066401,0.4439999999999999,0.5019163276881914,6.861772121011303,0.9511339270952032,0.052885212033588,0.0564868046218903,0.8091159168563508
South Korea,-2.797845825173569,0.3979999999999997,0.4131101548013553,3.516244929353495,0.9902250202466368,0.0200098794718698,0.0209582558958785,0.176472782923132
Spain,-0.732298814722403,0.1330000000000001,0.1490469724617043,2.8502756971269005,0.8037151050267443,0.0453764014803111,0.0501712815576503,0.9758820899495414
Sweden,-5.415220983064842,0.4579999999999997,0.4984977432245804,16.66259089496714,0.9899126168328106,0.0146636661824751,0.0197672677516203,0.5235690957237741
Thailand,-0.2136627906976722,0.0899999999999998,0.1000999500499375,2.022377291062895,0.9425742875126544,0.0193409166073452,0.0217739909592965,0.437584062413683
Turkey,-2.627064333251162,0.3159999999999998,0.3431034829318988,5.687255197120349,0.9837025288280796,0.0204848844193488,0.0229989287653979,0.3733166965414429
UAE,-0.5075159127074353,0.5420000000000009,0.651475248954249,2.1580837874080405,0.975492963067592,0.0790840562296892,0.0830639100319895,0.3178471367106624
Ukraine,-5.8592236711660135,0.7840000000000003,0.8482688253142399,19.38752474061921,0.9844275140739204,0.03904110629106,0.0404180165716906,0.950535978584914
United Kingdom,-6.958284371327848,0.5920000000000003,0.6583616027685701,13.97680555154674,0.9926084512583117,0.0170348122768711,0.020064229630547,0.4033249679561881
United States,-0.013424821002385,0.2459999999999993,0.2606530260710581,1.7201558466521938,0.9818514459723606,0.0240742808719822,0.0348809269087411,0.170459054023749
Venezuela,-29.897212543553977,0.2619999999999999,0.2663456400994767,5.942769612116751,0.9395693204493062,0.0094340090938169,0.0117791697605728,0.2132629922243628
Vietnam,-4.512196015235864,0.702,0.7758994780253431,16.17998633780347,0.9939101240252848,0.0208114173821286,0.0257897633656165,0.4755997544123395
